feature_id	chromosome	summary_file	sample_size
FOSL1.Skin_Sun_Exposed_Lower_leg	11	../summary/WH_GTEx/FOSL1.Skin_Sun_Exposed_Lower_leg	AUTO
FOSL2.Cells_Cultured_fibroblasts	2	../summary/WH_GTEx/FOSL2.Cells_Cultured_fibroblasts	AUTO
GAL3ST2.Skin_Not_Sun_Exposed_Suprapubic	2	../summary/WH_GTEx/GAL3ST2.Skin_Not_Sun_Exposed_Suprapubic	AUTO
GAL3ST2.Skin_Sun_Exposed_Lower_leg	2	../summary/WH_GTEx/GAL3ST2.Skin_Sun_Exposed_Lower_leg	AUTO
GLI1.Whole_Blood	12	../summary/WH_GTEx/GLI1.Whole_Blood	AUTO
GMEB2.Cells_EBV-transformed_lymphocytes	20	../summary/WH_GTEx/GMEB2.Cells_EBV-transformed_lymphocytes	AUTO
GMEB2.Skin_Sun_Exposed_Lower_leg	20	../summary/WH_GTEx/GMEB2.Skin_Sun_Exposed_Lower_leg	AUTO
GMEB2.Whole_Blood	20	../summary/WH_GTEx/GMEB2.Whole_Blood	AUTO
GNPDA1.Skin_Sun_Exposed_Lower_leg	5	../summary/WH_GTEx/GNPDA1.Skin_Sun_Exposed_Lower_leg	AUTO
GPR18.Whole_Blood	13	../summary/WH_GTEx/GPR18.Whole_Blood	AUTO
GSAP.Cells_Cultured_fibroblasts	7	../summary/WH_GTEx/GSAP.Cells_Cultured_fibroblasts	AUTO
GSDMA.Cells_Cultured_fibroblasts	17	../summary/WH_GTEx/GSDMA.Cells_Cultured_fibroblasts	AUTO
GSDMA.Skin_Not_Sun_Exposed_Suprapubic	17	../summary/WH_GTEx/GSDMA.Skin_Not_Sun_Exposed_Suprapubic	AUTO
GSDMA.Skin_Sun_Exposed_Lower_leg	17	../summary/WH_GTEx/GSDMA.Skin_Sun_Exposed_Lower_leg	AUTO
GSDMB.Cells_Cultured_fibroblasts	17	../summary/WH_GTEx/GSDMB.Cells_Cultured_fibroblasts	AUTO
GSDMB.Cells_EBV-transformed_lymphocytes	17	../summary/WH_GTEx/GSDMB.Cells_EBV-transformed_lymphocytes	AUTO
GSDMB.Skin_Sun_Exposed_Lower_leg	17	../summary/WH_GTEx/GSDMB.Skin_Sun_Exposed_Lower_leg	AUTO
GSDMB.Whole_Blood	17	../summary/WH_GTEx/GSDMB.Whole_Blood	AUTO
HDAC3.Cells_Cultured_fibroblasts	5	../summary/WH_GTEx/HDAC3.Cells_Cultured_fibroblasts	AUTO
HSPA4.Skin_Not_Sun_Exposed_Suprapubic	5	../summary/WH_GTEx/HSPA4.Skin_Not_Sun_Exposed_Suprapubic	AUTO
HSPD1.Cells_EBV-transformed_lymphocytes	2	../summary/WH_GTEx/HSPD1.Cells_EBV-transformed_lymphocytes	AUTO
HYOU1.Skin_Not_Sun_Exposed_Suprapubic	11	../summary/WH_GTEx/HYOU1.Skin_Not_Sun_Exposed_Suprapubic	AUTO
ICAM5.Skin_Not_Sun_Exposed_Suprapubic	19	../summary/WH_GTEx/ICAM5.Skin_Not_Sun_Exposed_Suprapubic	AUTO
IKZF1.Whole_Blood	7	../summary/WH_GTEx/IKZF1.Whole_Blood	AUTO
IKZF3.Cells_EBV-transformed_lymphocytes	17	../summary/WH_GTEx/IKZF3.Cells_EBV-transformed_lymphocytes	AUTO
IKZF3.Whole_Blood	17	../summary/WH_GTEx/IKZF3.Whole_Blood	AUTO
IKZF4.Skin_Not_Sun_Exposed_Suprapubic	12	../summary/WH_GTEx/IKZF4.Skin_Not_Sun_Exposed_Suprapubic	AUTO
IL15RA.Skin_Not_Sun_Exposed_Suprapubic	10	../summary/WH_GTEx/IL15RA.Skin_Not_Sun_Exposed_Suprapubic	AUTO
IL18R1.Skin_Not_Sun_Exposed_Suprapubic	2	../summary/WH_GTEx/IL18R1.Skin_Not_Sun_Exposed_Suprapubic	AUTO
IL18R1.Skin_Sun_Exposed_Lower_leg	2	../summary/WH_GTEx/IL18R1.Skin_Sun_Exposed_Lower_leg	AUTO
IL18RAP.Skin_Not_Sun_Exposed_Suprapubic	2	../summary/WH_GTEx/IL18RAP.Skin_Not_Sun_Exposed_Suprapubic	AUTO
IL18RAP.Skin_Sun_Exposed_Lower_leg	2	../summary/WH_GTEx/IL18RAP.Skin_Sun_Exposed_Lower_leg	AUTO
IL18RAP.Whole_Blood	2	../summary/WH_GTEx/IL18RAP.Whole_Blood	AUTO
IL1A.Skin_Not_Sun_Exposed_Suprapubic	2	../summary/WH_GTEx/IL1A.Skin_Not_Sun_Exposed_Suprapubic	AUTO
IL1A.Skin_Sun_Exposed_Lower_leg	2	../summary/WH_GTEx/IL1A.Skin_Sun_Exposed_Lower_leg	AUTO
IL1B.Skin_Not_Sun_Exposed_Suprapubic	2	../summary/WH_GTEx/IL1B.Skin_Not_Sun_Exposed_Suprapubic	AUTO
IL1B.Skin_Sun_Exposed_Lower_leg	2	../summary/WH_GTEx/IL1B.Skin_Sun_Exposed_Lower_leg	AUTO
IL1R1.Cells_EBV-transformed_lymphocytes	2	../summary/WH_GTEx/IL1R1.Cells_EBV-transformed_lymphocytes	AUTO
IL1RL2.Cells_Cultured_fibroblasts	2	../summary/WH_GTEx/IL1RL2.Cells_Cultured_fibroblasts	AUTO
IL1RL2.Skin_Not_Sun_Exposed_Suprapubic	2	../summary/WH_GTEx/IL1RL2.Skin_Not_Sun_Exposed_Suprapubic	AUTO
IL1RL2.Skin_Sun_Exposed_Lower_leg	2	../summary/WH_GTEx/IL1RL2.Skin_Sun_Exposed_Lower_leg	AUTO
IL33.Cells_Cultured_fibroblasts	9	../summary/WH_GTEx/IL33.Cells_Cultured_fibroblasts	AUTO
IL36B.Skin_Not_Sun_Exposed_Suprapubic	2	../summary/WH_GTEx/IL36B.Skin_Not_Sun_Exposed_Suprapubic	AUTO
IL36B.Skin_Sun_Exposed_Lower_leg	2	../summary/WH_GTEx/IL36B.Skin_Sun_Exposed_Lower_leg	AUTO
IL36G.Skin_Sun_Exposed_Lower_leg	2	../summary/WH_GTEx/IL36G.Skin_Sun_Exposed_Lower_leg	AUTO
IL6R.Whole_Blood	1	../summary/WH_GTEx/IL6R.Whole_Blood	AUTO
IL7R.Cells_Cultured_fibroblasts	5	../summary/WH_GTEx/IL7R.Cells_Cultured_fibroblasts	AUTO
INO80.Cells_Cultured_fibroblasts	15	../summary/WH_GTEx/INO80.Cells_Cultured_fibroblasts	AUTO
IQCH.Skin_Not_Sun_Exposed_Suprapubic	15	../summary/WH_GTEx/IQCH.Skin_Not_Sun_Exposed_Suprapubic	AUTO
IQCH.Skin_Sun_Exposed_Lower_leg	15	../summary/WH_GTEx/IQCH.Skin_Sun_Exposed_Lower_leg	AUTO
IQGAP1.Cells_Cultured_fibroblasts	15	../summary/WH_GTEx/IQGAP1.Cells_Cultured_fibroblasts	AUTO
IQGAP1.Skin_Not_Sun_Exposed_Suprapubic	15	../summary/WH_GTEx/IQGAP1.Skin_Not_Sun_Exposed_Suprapubic	AUTO
IQGAP1.Skin_Sun_Exposed_Lower_leg	15	../summary/WH_GTEx/IQGAP1.Skin_Sun_Exposed_Lower_leg	AUTO
IQGAP1.Whole_Blood	15	../summary/WH_GTEx/IQGAP1.Whole_Blood	AUTO
